step,epoch,loss,grad_norm,learning_rate,eval_crossner_ai,eval_crossner_literature,eval_crossner_music,eval_crossner_politics,eval_crossner_science,eval_mit-movie,eval_mit-restaurant,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
515,3.652,0.0136,0.22045749425888062,8.201970443349755e-06,,,,,,,,,,,,,,,,,
517,3.667,,,,0.6474999999499181,0.6360505165973872,0.6569767441360225,0.7445742904340272,0.7147470397776667,0.8905109488546789,0.7783018867421135,0.7240944894988306,45.1343,15.509,0.133,,,,,,
520,3.688,0.0126,0.24225512146949768,8.078817733990149e-06,,,,,,,,,,,,,,,,,
525,3.723,0.0131,0.24800187349319458,7.955665024630542e-06,,,,,,,,,,,,,,,,,
530,3.759,0.0139,0.21493081748485565,7.832512315270938e-06,,,,,,,,,,,,,,,,,
535,3.794,0.0143,0.20504631102085114,7.709359605911331e-06,,,,,,,,,,,,,,,,,
540,3.83,0.0134,0.18888776004314423,7.586206896551724e-06,,,,,,,,,,,,,,,,,
545,3.865,0.017,0.16547365486621857,7.4630541871921195e-06,,,,,,,,,,,,,,,,,
550,3.901,0.0144,0.31050652265548706,7.339901477832513e-06,,,,,,,,,,,,,,,,,
555,3.936,0.0142,0.3659495413303375,7.216748768472907e-06,,,,,,,,,,,,,,,,,
560,3.972,0.0146,0.2452061027288437,7.093596059113301e-06,,,,,,,,,,,,,,,,,
564,4.0,,,,0.6460746460244865,0.6443418013355392,0.6873156341683286,0.6802374893477285,0.7341490544548422,0.8845208844704502,0.816229116894725,0.7275526609565858,44.6541,15.676,0.134,,,,,,
565,4.007,0.0177,0.150396928191185,6.970443349753695e-06,,,,,,,,,,,,,,,,,
570,4.043,0.0113,0.17875081300735474,6.84729064039409e-06,,,,,,,,,,,,,,,,,
575,4.078,0.0079,0.1648125946521759,6.724137931034484e-06,,,,,,,,,,,,,,,,,
580,4.113,0.0092,0.16978572309017181,6.600985221674877e-06,,,,,,,,,,,,,,,,,
585,4.149,0.008,0.40680816769599915,6.477832512315272e-06,,,,,,,,,,,,,,,,,
590,4.184,0.0096,0.4753648638725281,6.3546798029556655e-06,,,,,,,,,,,,,,,,,
595,4.22,0.0091,0.7372340559959412,6.231527093596059e-06,,,,,,,,,,,,,,,,,
600,4.255,0.0092,0.1668548583984375,6.108374384236454e-06,,,,,,,,,,,,,,,,,
605,4.291,0.0081,0.20269009470939636,5.985221674876848e-06,,,,,,,,,,,,,,,,,
610,4.326,0.0088,0.1992485225200653,5.862068965517242e-06,,,,,,,,,,,,,,,,,
611,4.333,,,,0.6502732239936592,0.6232558139033608,0.6715542521494251,0.6745964315557176,0.724097788075673,0.9140049139544651,0.7772511847837729,0.7192905154880105,44.7989,15.625,0.134,,,,,,
615,4.362,0.0086,0.29214516282081604,5.738916256157636e-06,,,,,,,,,,,,,,,,,
620,4.397,0.0121,0.23432758450508118,5.61576354679803e-06,,,,,,,,,,,,,,,,,
625,4.433,0.0086,0.24268247187137604,5.492610837438424e-06,,,,,,,,,,,,,,,,,
630,4.468,0.0088,0.2381637841463089,5.369458128078819e-06,,,,,,,,,,,,,,,,,
635,4.504,0.0096,0.18125608563423157,5.246305418719212e-06,,,,,,,,,,,,,,,,,
640,4.539,0.0091,0.21536622941493988,5.123152709359607e-06,,,,,,,,,,,,,,,,,
645,4.574,0.0099,0.2325764000415802,5e-06,,,,,,,,,,,,,,,,,
650,4.61,0.0085,0.1998232901096344,4.876847290640395e-06,,,,,,,,,,,,,,,,,
655,4.645,0.0075,0.2647179961204529,4.7536945812807885e-06,,,,,,,,,,,,,,,,,
658,4.667,,,,0.6151797602694357,0.6537585420910814,0.6820143884391477,0.6994171523229137,0.7056179774779376,0.8899755500718146,0.792362768446049,0.7197608770169114,45.8468,15.268,0.131,,,,,,
660,4.681,0.0082,0.21222029626369476,4.630541871921182e-06,,,,,,,,,,,,,,,,,
665,4.716,0.0073,0.17479632794857025,4.507389162561577e-06,,,,,,,,,,,,,,,,,
