step,epoch,loss,grad_norm,learning_rate
260,0.8,0.102,1.8393625020980835,1.9449786324786327e-05
261,0.803,0.1827,6.908932209014893,1.9444444444444445e-05
262,0.806,0.0882,1.175887942314148,1.9439102564102564e-05
263,0.809,0.5598,8.233809471130371,1.9433760683760686e-05
264,0.812,0.013,0.9705816507339478,1.9428418803418805e-05
265,0.815,0.179,2.4659481048583984,1.9423076923076924e-05
266,0.818,0.0042,0.3277941048145294,1.9417735042735043e-05
267,0.822,0.2404,3.459315061569214,1.9412393162393165e-05
268,0.825,0.2079,4.176162242889404,1.9407051282051284e-05
269,0.828,0.0009,0.07197844237089157,1.9401709401709403e-05
270,0.831,0.1704,1.8852639198303223,1.939636752136752e-05
271,0.834,0.0007,0.05630645155906677,1.9391025641025644e-05
272,0.837,0.306,3.0571885108947754,1.9385683760683762e-05
273,0.84,0.0009,0.0770789235830307,1.938034188034188e-05
274,0.843,0.0011,0.09069318324327469,1.9375e-05
275,0.846,0.168,2.4025442600250244,1.9369658119658122e-05
276,0.849,0.2023,3.2719192504882812,1.936431623931624e-05
277,0.852,0.1019,2.6634528636932373,1.935897435897436e-05
278,0.855,0.4181,4.241293907165527,1.935363247863248e-05
279,0.858,0.0068,0.5507429838180542,1.93482905982906e-05
280,0.862,0.1238,2.673906087875366,1.934294871794872e-05
281,0.865,0.4333,4.2236809730529785,1.933760683760684e-05
282,0.868,0.0122,0.992739200592041,1.933226495726496e-05
283,0.871,0.1795,1.9358686208724976,1.932692307692308e-05
284,0.874,0.0051,0.4163970649242401,1.9321581196581198e-05
285,0.877,0.2499,2.6766109466552734,1.9316239316239317e-05
286,0.88,0.1947,1.6010243892669678,1.931089743589744e-05
287,0.883,0.1907,1.5805516242980957,1.9305555555555558e-05
288,0.886,0.2483,2.4249844551086426,1.9300213675213677e-05
289,0.889,0.0025,0.20451949536800385,1.9294871794871796e-05
290,0.892,0.1934,2.5883796215057373,1.9289529914529918e-05
291,0.895,0.0031,0.252663254737854,1.9284188034188037e-05
292,0.898,0.2417,5.158683776855469,1.9278846153846155e-05
293,0.902,0.0032,0.2593289613723755,1.9273504273504274e-05
294,0.905,0.2659,2.782282590866089,1.9268162393162396e-05
295,0.908,0.0032,0.2587599754333496,1.9262820512820515e-05
296,0.911,0.0031,0.25079256296157837,1.9257478632478634e-05
297,0.914,0.1131,1.2608718872070312,1.9252136752136753e-05
298,0.917,0.0024,0.19032500684261322,1.9246794871794875e-05
299,0.92,0.002,0.15770456194877625,1.9241452991452994e-05
300,0.923,0.0015,0.12343810498714447,1.9236111111111113e-05
301,0.926,0.1211,2.365614175796509,1.923076923076923e-05
302,0.929,0.1621,1.6938109397888184,1.9225427350427354e-05
303,0.932,0.1824,2.0245819091796875,1.9220085470085472e-05
304,0.935,0.3545,4.6069655418396,1.921474358974359e-05
305,0.938,0.4229,6.126293659210205,1.920940170940171e-05
306,0.942,0.2947,2.3204891681671143,1.9204059829059832e-05
307,0.945,0.3959,5.588963985443115,1.919871794871795e-05
308,0.948,0.2473,1.7772505283355713,1.919337606837607e-05
309,0.951,0.0422,3.2278504371643066,1.918803418803419e-05
310,0.954,0.0367,2.8330681324005127,1.918269230769231e-05
311,0.957,0.406,5.887871265411377,1.917735042735043e-05
312,0.96,0.1796,2.0020978450775146,1.917200854700855e-05
313,0.963,0.2053,3.212252140045166,1.916666666666667e-05
314,0.966,0.0048,0.37807780504226685,1.916132478632479e-05
315,0.969,0.1369,1.469377040863037,1.9155982905982908e-05
316,0.972,0.002,0.158855140209198,1.9150641025641027e-05
317,0.975,0.4675,8.454411506652832,1.914529914529915e-05
318,0.978,0.1736,4.208980560302734,1.9139957264957268e-05
319,0.982,0.0007,0.05739373341202736,1.9134615384615387e-05
320,0.985,0.0006,0.04953816160559654,1.9129273504273506e-05
321,0.988,0.2221,2.718308448791504,1.9123931623931628e-05
