step,epoch,loss,grad_norm,learning_rate,eval_mit-movie,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second
422,0.543,0.3926,1.6027974166734553,2e-05,,,,,
424,0.546,0.4215,1.4243044677090948,2e-05,,,,,
426,0.548,0.4311,1.2007084876087057,2e-05,,,,,
428,0.551,0.4331,1.8852951752202631,2e-05,,,,,
430,0.553,0.4223,1.545877554073694,2e-05,,,,,
432,0.556,0.4725,1.51050092451653,2e-05,,,,,
434,0.559,0.4133,1.7082258310525031,2e-05,,,,,
436,0.561,0.4873,1.9177548582844393,2e-05,,,,,
438,0.564,0.4289,1.5740254748751403,2e-05,,,,,
440,0.566,0.4553,1.6412900074861672,2e-05,,,,,
442,0.569,0.463,1.5114525935385845,2e-05,,,,,
444,0.571,0.3874,1.621213732455016,2e-05,,,,,
446,0.574,0.3668,1.6928539207471152,2e-05,,,,,
448,0.577,0.4101,1.3903849424283286,2e-05,,,,,
450,0.579,0.411,1.5259580091622298,2e-05,,,,,
452,0.582,0.3788,1.4573639827018208,2e-05,,,,,
454,0.584,0.4156,1.4601781890217984,2e-05,,,,,
456,0.587,0.3865,1.430404835870983,2e-05,,,,,
458,0.589,0.3663,1.3271180911116658,2e-05,,,,,
460,0.592,0.4226,1.6521450622890466,2e-05,,,,,
462,0.595,0.4046,1.292426238101193,2e-05,,,,,
464,0.597,0.382,1.4524322799615783,2e-05,,,,,
466,0.6,0.3688,1.4511494003081682,2e-05,,,,,
468,0.602,0.4104,1.467845646809111,2e-05,,,,,
470,0.605,0.4223,1.6691599764904503,2e-05,,,,,
472,0.607,0.3826,1.3828255938729606,2e-05,,,,,
474,0.61,0.4032,1.3691677852450141,2e-05,,,,,
476,0.613,0.3455,1.5946025178671122,2e-05,,,,,
478,0.615,0.4447,1.715747508683726,2e-05,,,,,
480,0.618,0.3429,1.125285123791713,2e-05,,,,,
482,0.62,0.3876,2.1362207206209574,2e-05,,,,,
484,0.623,0.4485,1.3523670389055595,2e-05,,,,,
486,0.625,0.361,1.579510842904823,2e-05,,,,,
488,0.628,0.3799,1.4022824883453082,2e-05,,,,,
490,0.631,0.3517,1.3991145186606562,2e-05,,,,,
492,0.633,0.4263,1.5475258974123385,2e-05,,,,,
494,0.636,0.4056,1.4435011355599054,2e-05,,,,,
496,0.638,0.393,1.4139683678796728,2e-05,,,,,
498,0.641,0.3905,1.3596682330043546,2e-05,,,,,
500,0.644,0.3162,1.4292571431265904,2e-05,,,,,
502,0.646,0.3628,1.5009378333656587,2e-05,,,,,
504,0.649,0.3947,1.6116855271212087,2e-05,,,,,
506,0.651,0.4342,1.240927672202765,2e-05,,,,,
508,0.654,0.3883,1.5240463270679918,2e-05,,,,,
510,0.656,0.4141,1.4041748143972066,2e-05,,,,,
512,0.659,0.3484,1.3575090713562383,2e-05,,,,,
514,0.662,0.4047,1.4000750957990817,2e-05,,,,,
516,0.664,0.3745,1.8332015693490844,2e-05,,,,,
518,0.667,0.3934,1.510220858663447,2e-05,,,,,
520,0.669,0.3871,1.4254942182330768,2e-05,,,,,
522,0.672,0.3614,1.5276940336690377,2e-05,,,,,
524,0.674,0.3864,1.4734931315313367,2e-05,,,,,
526,0.677,0.3561,1.3157821797261382,2e-05,,,,,
528,0.68,0.3786,1.2236931306680463,2e-05,,,,,
530,0.682,0.3486,1.1330105572492941,2e-05,,,,,
532,0.685,0.364,1.3453733332102713,2e-05,,,,,
534,0.687,0.3837,1.6023907834633861,2e-05,,,,,
536,0.69,0.3378,1.2240068549800804,2e-05,,,,,
538,0.692,0.3715,1.3162384868255133,2e-05,,,,,
540,0.695,0.3808,1.3365155386344405,2e-05,,,,,
542,0.698,0.3554,1.5371724232158017,2e-05,,,,,
544,0.7,0.3497,1.4070205173122867,2e-05,,,,,
546,0.703,0.3636,1.2752917928404452,2e-05,,,,,
548,0.705,0.3187,1.2659289048631523,2e-05,,,,,
550,0.708,0.3752,1.5334072794983864,2e-05,,,,,
552,0.71,0.384,1.2554553510593514,2e-05,,,,,
554,0.713,0.3107,1.321956987458555,2e-05,,,,,
556,0.716,0.3928,1.6953639406478176,2e-05,,,,,
558,0.718,0.3437,1.4057812401106984,2e-05,,,,,
560,0.721,0.3626,1.193861752138297,2e-05,,,,,
562,0.723,0.3359,1.5362293517697996,2e-05,,,,,
564,0.726,0.3685,1.1973765912512224,2e-05,,,,,
566,0.728,0.4279,1.5435402844571733,2e-05,,,,,
568,0.731,0.3445,1.3267837627672887,2e-05,,,,,
570,0.734,0.3662,1.4529786335225117,2e-05,,,,,
572,0.736,0.3858,1.4430554508910787,2e-05,,,,,
574,0.739,0.3037,1.6212644910042784,2e-05,,,,,
576,0.741,0.3934,1.7753521837459383,2e-05,,,,,
578,0.744,0.3264,1.2573270054927663,2e-05,,,,,
580,0.746,0.2835,1.2660476853317333,2e-05,,,,,
582,0.749,0.3437,2.6370725136196227,2e-05,,,,,
584,0.752,0.3798,1.38923781563116,2e-05,,,,,
586,0.754,0.333,1.1377988922589917,2e-05,,,,,
588,0.757,0.3515,1.1838903532715193,2e-05,,,,,
590,0.759,0.3207,1.2375692389866735,2e-05,,,,,
592,0.762,0.3099,1.131942720764925,2e-05,,,,,
594,0.764,0.3357,1.6363410826454856,2e-05,,,,,
596,0.767,0.3245,1.3043481016754077,2e-05,,,,,
598,0.77,0.389,1.942863408650775,2e-05,,,,,
600,0.772,0.3516,1.3040747510805906,2e-05,,,,,
602,0.775,0.3689,1.4165722255339435,2e-05,,,,,
604,0.777,0.2735,1.25576171928134,2e-05,,,,,
606,0.78,0.3615,1.4123939940048176,2e-05,,,,,
608,0.782,0.335,1.332987588339796,2e-05,,,,,
610,0.785,0.3668,1.3433581577258293,2e-05,,,,,
612,0.788,0.2805,1.0998629377839413,2e-05,,,,,
614,0.79,0.2965,1.0236741531189328,2e-05,,,,,
616,0.793,0.3659,1.6990353294685503,2e-05,,,,,
618,0.795,0.3378,1.2189063762286683,2e-05,,,,,
620,0.798,0.3429,1.4893038763204258,2e-05,,,,,
622,0.801,0.3113,1.3591146161619583,2e-05,,,,,
624,0.803,0.3646,1.3516259130719033,2e-05,,,,,
626,0.806,0.328,1.318598051867889,2e-05,,,,,
628,0.808,0.315,1.1909988127856803,2e-05,,,,,
630,0.811,0.3748,1.3403805765928958,2e-05,,,,,
632,0.813,0.3044,1.2139964796602067,2e-05,,,,,
634,0.816,0.3213,1.2269133974491777,2e-05,,,,,
636,0.819,0.3585,1.2959652477006813,2e-05,,,,,
638,0.821,0.3341,1.2387536812934292,2e-05,,,,,
640,0.824,0.3577,1.2111372431922514,2e-05,,,,,
642,0.826,0.3457,1.8341827553452363,2e-05,,,,,
644,0.829,0.3029,1.0978150641172837,2e-05,,,,,
646,0.831,0.3337,1.3781823783268687,2e-05,,,,,
648,0.834,0.3306,1.3379746423964938,2e-05,,,,,
650,0.837,0.3046,1.7485542984285993,2e-05,,,,,
652,0.839,0.2926,1.2526675623535866,2e-05,,,,,
654,0.842,0.2542,1.5041408089922887,2e-05,,,,,
656,0.844,0.3135,1.2580087283411716,2e-05,,,,,
658,0.847,0.3191,1.0081676697967852,2e-05,,,,,
660,0.849,0.3769,1.415746664214396,2e-05,,,,,
662,0.852,0.2869,1.8193121656867333,2e-05,,,,,
664,0.855,0.3151,1.2472510676383368,2e-05,,,,,
666,0.857,0.3268,1.7733198490575548,2e-05,,,,,
668,0.86,0.3225,1.651110706135104,2e-05,,,,,
670,0.862,0.2771,1.2042896136687924,2e-05,,,,,
672,0.865,0.2945,1.053178634726324,2e-05,,,,,
674,0.867,0.2697,1.1088953266773036,2e-05,,,,,
676,0.87,0.3621,1.618567380383246,2e-05,,,,,
678,0.873,0.2565,1.2301124207323617,2e-05,,,,,
680,0.875,0.3066,1.4085431890165425,2e-05,,,,,
682,0.878,0.3113,1.4096076331143186,2e-05,,,,,
684,0.88,0.2337,1.087302566118325,2e-05,,,,,
686,0.883,0.3439,1.4511808095822365,2e-05,,,,,
688,0.885,0.3839,1.9375387304475045,2e-05,,,,,
690,0.888,0.3779,1.7317608607521466,2e-05,,,,,
692,0.891,0.334,1.137248972357628,2e-05,,,,,
694,0.893,0.3013,1.1143267243983894,2e-05,,,,,
696,0.896,0.329,1.6044185470389583,2e-05,,,,,
698,0.898,0.3091,1.3363205035045027,2e-05,,,,,
700,0.901,0.2986,1.1750308770558366,2e-05,,,,,
702,0.903,0.2662,1.1465448099766462,2e-05,,,,,
704,0.906,0.3211,1.2626815316225681,2e-05,,,,,
706,0.909,0.2648,1.4127891280686953,2e-05,,,,,
708,0.911,0.3043,1.1381623985583522,2e-05,,,,,
710,0.914,0.2824,1.4155328231506659,2e-05,,,,,
712,0.916,0.3009,2.037036158501859,2e-05,,,,,
714,0.919,0.3409,1.3031508748266236,2e-05,,,,,
716,0.921,0.3288,1.2932669126202092,2e-05,,,,,
718,0.924,0.3448,1.3482457349221728,2e-05,,,,,
720,0.927,0.2199,1.2014196608179888,2e-05,,,,,
722,0.929,0.2801,1.2767052590426156,2e-05,,,,,
724,0.932,0.3427,1.2335973302246406,2e-05,,,,,
726,0.934,0.3094,1.4091618911960853,2e-05,,,,,
728,0.937,0.2981,1.14045308906184,2e-05,,,,,
730,0.94,0.2911,1.105587733350588,2e-05,,,,,
732,0.942,0.2804,1.1991125237494764,2e-05,,,,,
734,0.945,0.2992,1.3889544807677154,2e-05,,,,,
736,0.947,0.2888,1.1787349796689381,2e-05,,,,,
738,0.95,0.2636,1.0566378190864982,2e-05,,,,,
740,0.952,0.2412,0.8574725804411021,2e-05,,,,,
742,0.955,0.2857,1.5069176521456114,2e-05,,,,,
744,0.958,0.3023,1.1941099875671184,2e-05,,,,,
746,0.96,0.3014,1.216754792897419,2e-05,,,,,
748,0.963,0.2909,1.2780430646396768,2e-05,,,,,
750,0.965,0.2771,1.6520234583853621,2e-05,,,,,
752,0.968,0.3062,1.4294587073651515,2e-05,,,,,
754,0.97,0.2613,1.4501670311584225,2e-05,,,,,
756,0.973,0.3325,1.6015006378892012,2e-05,,,,,
758,0.976,0.2959,1.0568512325156656,2e-05,,,,,
760,0.978,0.2383,0.9477939639298282,2e-05,,,,,
762,0.981,0.3064,1.424833423440098,2e-05,,,,,
764,0.983,0.2863,1.2327316484686666,2e-05,,,,,
766,0.986,0.2518,1.1508229362963605,2e-05,,,,,
768,0.988,0.2938,1.549563407969625,2e-05,,,,,
